sample_id,TP,TN,FP,FN,Accuracy,IoU,F1
1007599_RS_386_386RS289112_28920,0,198928,84,151,0.9988200619592996,0.0,0.0
1007600_RS_386_386RS289112_28925,3,198546,244,370,0.9969170980553617,0.004862236628849271,0.00967741935483871
1007607_RS_386_386RS289112_28960,6,198370,270,517,0.9960484628168886,0.007566204287515763,0.015018773466833541
1007608_RS_386_386RS289112_28966,1261,193262,1303,3337,0.9767024999623424,0.21369259447551261,0.35213627478358
1008367_RS_386_386RS289112_32760,62,197442,595,1064,0.9916701395339496,0.03602556653108658,0.06954570947840717
1008560_RS_386_386RS289112_33725,138,195990,802,2233,0.9847612257296787,0.043491963441537974,0.08335850196315313
1014583_RS_386_386RS124739_29840,207,196018,1977,961,0.9852482639847763,0.065818759936407,0.12350835322195704
1014584_RS_386_386RS124739_29845,23,197422,1406,312,0.9913738997705397,0.013210798391728892,0.026077097505668934
1014585_RS_386_386RS124739_29850,33,195855,2145,1130,0.9835561826242826,0.009975816203143894,0.019754564501646213
1014586_RS_386_386RS124739_29855,333,192539,2671,3620,0.9684128075998052,0.050271739130434784,0.09573091849935317
1014587_RS_386_386RS124739_29860,749,191912,2486,4016,0.9673533738696445,0.10329609709005655,0.18725
1014603_RS_386_386RS124739_29940,75,197901,434,753,0.9940400576412285,0.059429477020602216,0.11219147344801796
1014604_RS_386_386RS124739_29945,0,198377,378,408,0.9960534838298278,0.0,0.0
1014609_RS_386_386RS124739_29970,3,198034,878,248,0.9943463394305168,0.002657218777679362,0.00530035335689046
1014610_RS_386_386RS124739_29975,11,198256,595,301,0.9955011724065213,0.012127894156560088,0.023965141612200435
1014611_RS_386_386RS124739_29980,5,198140,421,597,0.9948886088279449,0.004887585532746823,0.009727626459143969
1014612_RS_386_386RS124739_29985,100,196248,1177,1638,0.9858658485762918,0.03430531732418525,0.06633499170812604
1014613_RS_386_386RS124739_29990,241,195295,2140,1487,0.9817887860697017,0.06230610134436401,0.11730348016549039
1014615_RS_386_386RS124739_30000,0,198715,222,226,0.9977505862032606,0.0,0.0
1014616_RS_386_386RS124739_30005,20,198152,463,528,0.995024176177302,0.019782393669634024,0.038797284190106696
1014617_RS_386_386RS124739_30010,117,197080,842,1124,0.9901286885616304,0.05616898703792607,0.10636363636363637
1014618_RS_386_386RS124739_30015,0,197629,663,871,0.9922977661513434,0.0,0.0
1014619_RS_386_386RS124739_30020,148,196575,861,1579,0.9877487284284732,0.0571870170015456,0.10818713450292397
1014620_RS_386_386RS124739_30026,5,197210,1021,927,0.9902190667945351,0.002560163850486431,0.005107252298263534
1014621_RS_386_386RS124739_30030,18,197761,674,710,0.9930509180922159,0.012838801711840228,0.02535211267605634
1014622_RS_386_386RS124739_30035,7,197739,774,643,0.992885224665224,0.0049157303370786515,0.009783368273934312
1014623_RS_386_386RS124739_30040,25,197322,616,1200,0.9908818405025029,0.013579576317218903,0.02679528403001072
1014626_RS_386_386RS124739_30055,0,198535,337,291,0.9968468038742135,0.0,0.0
1014627_RS_386_386RS124739_30061,324,195346,1738,1755,0.9824616018035478,0.08488341629552004,0.15648394107703453
1014628_RS_386_386RS124739_30065,1576,186040,6499,5048,0.9420223635916309,0.12009449058904215,0.2144363562147085
1014629_RS_386_386RS124739_30070,877,189664,5566,3056,0.9567088264386457,0.09232550794820507,0.16904394757131844
1014630_RS_386_386RS124739_30075,665,191392,3630,3476,0.9643206820543977,0.08557457212713937,0.15765765765765766
1014631_RS_386_386RS124739_30080,111,193133,3509,2410,0.9702806244131691,0.018407960199004977,0.0361504640937958
1014632_RS_386_386RS124739_30085,129,197037,885,1112,0.9899730371605168,0.06067732831608655,0.11441241685144124
1014635_RS_386_386RS124739_30100,1143,185528,9635,2857,0.9372775063641339,0.08382838283828382,0.15468940316686966
1014636_RS_386_386RS124739_30105,411,190002,5267,3483,0.9560661367824345,0.04486409780591639,0.08587547012118679
1014637_RS_386_386RS124739_30110,3,198442,393,325,0.99639491270969,0.004160887656033287,0.008287292817679558
1014638_RS_386_386RS124739_30115,202,196301,1596,1064,0.9866441055818601,0.07058001397624039,0.13185378590078328
1014639_RS_386_386RS124739_30121,1267,186943,7401,3552,0.9450048452774863,0.10368248772504092,0.18788462964336028
1014640_RS_386_386RS124739_30127,5,198366,407,385,0.996023357752193,0.006273525721455458,0.012468827930174564
1014641_RS_386_386RS124739_30130,25,193888,2398,2852,0.9736396820694607,0.004739336492890996,0.009433962264150943
1014642_RS_386_386RS124739_30135,176,191661,2566,4760,0.9632160592077845,0.02346041055718475,0.045845272206303724
1014643_RS_386_386RS124739_30140,0,199033,58,72,0.9993472683179104,0.0,0.0
1014644_RS_386_386RS124739_30145,28,195774,867,2494,0.9831243755115157,0.008262024195928003,0.016388645010242904
1014645_RS_386_386RS124739_30150,180,195725,2041,1217,0.9836415398442482,0.05235602094240838,0.09950248756218906
1014648_RS_386_386RS124739_30165,0,197041,780,1342,0.989345410543123,0.0,0.0
1014649_RS_386_386RS124739_30170,556,190954,2452,5201,0.9615741879766824,0.0677305396516019,0.12686822589845978
1014650_RS_386_386RS124739_30175,283,195041,2222,1617,0.9807243313266019,0.06865599223677826,0.12849035187287175
1014651_RS_386_386RS124739_30180,0,198645,230,288,0.9973991152975201,0.0,0.0
1014652_RS_386_386RS124739_30185,7,197087,915,1154,0.989611524228898,0.003371868978805395,0.00672107537205953
1014653_RS_386_386RS124739_30190,571,190651,4572,3092,0.9614653620667116,0.06933819064966606,0.1296843061548944
1014654_RS_386_386RS124739_30195,257,194051,2805,2050,0.9756229821804251,0.05027386541471048,0.0957347737008754
1014655_RS_386_386RS124739_30200,214,193963,2583,2403,0.9749652294853964,0.04115384615384615,0.07905430365718508
1014658_RS_386_386RS124739_30216,112,197312,1049,690,0.9912684584988175,0.06050783360345759,0.1141110545084055
1014659_RS_386_386RS124739_30220,689,194195,2305,1974,0.9785150856333756,0.1386876006441224,0.24359200989923988
1014660_RS_386_386RS124739_30225,54,195350,3151,608,0.9811260123617338,0.014162077104642014,0.027928626842513578
1014661_RS_386_386RS124739_30230,578,194200,2021,2364,0.9779828582618257,0.11646181744912351,0.20862660169644467
1014663_RS_386_386RS124739_30240,0,197749,487,927,0.9929002877040414,0.0,0.0
1014664_RS_386_386RS124739_30246,0,198126,481,556,0.994793209582101,0.0,0.0
1014665_RS_386_386RS124739_30250,10,198397,357,399,0.9962041142180024,0.013054830287206266,0.02577319587628866
1014668_RS_386_386RS124739_30265,29,197581,896,657,0.9922023669054996,0.018331226295828066,0.03600248292985723
1014669_RS_386_386RS124739_30271,523,192627,2748,3265,0.969808649196889,0.08001835985312117,0.14817962884261227
1014670_RS_386_386RS124739_30275,110,195301,1828,1924,0.9811611594523079,0.02848265147591921,0.0553877139979859
1014671_RS_386_386RS124739_30280,90,196346,1219,1508,0.986307697714937,0.03194888178913738,0.06191950464396285
1014672_RS_386_386RS124739_30285,0,198975,69,119,0.9990560495674398,0.0,0.0
1014673_RS_386_386RS124739_30290,0,198235,809,119,0.9953404999924684,0.0,0.0
1014675_RS_386_386RS124739_30300,1049,187775,5061,5278,0.9480877472221246,0.09211450649806814,0.16869019860094878
1014676_RS_386_386RS124739_30305,962,187501,6276,4424,0.9462751615510914,0.08249013891270794,0.15240811153358683
1014677_RS_386_386RS124739_30310,1718,183514,7504,6427,0.9300522687446966,0.10978337273947217,0.19784649047043243
1014678_RS_386_386RS124739_30315,432,190179,3902,4650,0.9570602973443862,0.04808548530721282,0.09175870858113849
1014679_RS_386_386RS124739_30321,253,190658,4083,4169,0.9585666012261314,0.029747207524985303,0.057775747887645584
1014680_RS_386_386RS124739_30325,1180,185463,6129,6391,0.9371369180018377,0.08613138686131387,0.1586021505376344
1014681_RS_386_386RS124739_30330,340,191549,4049,3225,0.9634771518806204,0.04465458366167586,0.0854915765652502
1014682_RS_386_386RS124739_30335,71,193365,2890,2837,0.971244658897486,0.012245601931700587,0.024194922474016018
1014683_RS_386_386RS124739_30340,475,190626,5791,2271,0.9595205936845699,0.05564015462106126,0.1054150022192632
1014684_RS_386_386RS124739_30345,281,193507,3688,1687,0.9730120554520669,0.04968175388967468,0.09466060299814721
1014685_RS_386_386RS124739_30350,72,195816,1609,1666,0.9835561826242826,0.02151180161338512,0.04211757823925124
1014686_RS_386_386RS124739_30355,459,192624,2908,3172,0.9694722413299659,0.0701942192995871,0.13118033723921121
1014687_RS_386_386RS124739_30360,405,193475,2083,3200,0.9734739886424687,0.07120253164556962,0.1329394387001477
1014688_RS_386_386RS124739_30365,5,199017,63,78,0.9992920371755798,0.03424657534246575,0.06622516556291391
1014689_RS_386_386RS124739_30371,115,196735,714,1599,0.9883863970717452,0.04736408566721582,0.09044435705859222
1014690_RS_386_386RS124739_30375,0,198811,176,176,0.9982326034454191,0.0,0.0
1014691_RS_386_386RS124739_30380,82,197876,503,702,0.9939496794083238,0.06371406371406371,0.1197954711468225
1014692_RS_386_386RS124739_30385,137,196906,962,1158,0.9893554525690013,0.06070004430660168,0.11445279866332497
1014693_RS_386_386RS124739_30390,329,196135,784,1915,0.9864482860772332,0.10865257595772787,0.19600834078045876
1014694_RS_386_386RS124739_30395,198,194827,2154,1984,0.9792230484577958,0.04566420664206642,0.08734009704455227
1014695_RS_386_386RS124739_30400,60,195510,1378,2215,0.9819595005096328,0.01642485628250753,0.032318879612173446
1014696_RS_386_386RS124739_30405,43,196006,1706,1408,0.9843645657074859,0.013620525815647768,0.026875
1014697_RS_386_386RS124739_30410,319,195859,1133,1852,0.9850122763766362,0.09654963680387409,0.17609715705216672
1014698_RS_386_386RS124739_30415,14,197771,741,637,0.9930810441698509,0.010057471264367816,0.01991465149359886
1014701_RS_386_386RS124739_30430,0,198779,205,179,0.9980719310313663,0.0,0.0
1014702_RS_386_386RS124739_30435,9,196860,830,1464,0.9884817963175891,0.0039079461571862786,0.007785467128027681
1014703_RS_386_386RS124739_30440,179,195307,1254,2423,0.9815377354227441,0.04642116182572614,0.08872366790582403
1014704_RS_386_386RS124739_30445,746,188916,4594,4907,0.9522953560651326,0.07280179564750659,0.13572273264804877
1014705_RS_386_386RS124739_30450,1056,186292,3471,8344,0.9406767321239387,0.08204490715562117,0.1516478782221584
1014706_RS_386_386RS124739_30455,26,196414,1341,1382,0.9863277817666937,0.009457984721716987,0.018738738738738738
1014707_RS_386_386RS124739_30460,250,194451,2256,2206,0.9775962402655112,0.05305602716468591,0.1007658202337767
1014708_RS_386_386RS124739_30465,510,190884,2547,5222,0.9609917504757409,0.061601642710472276,0.11605415860735009
1014709_RS_386_386RS124739_30470,64,196337,2095,667,0.9861319622620668,0.02264685067232838,0.044290657439446365
1014710_RS_386_386RS124739_30475,48,197819,718,578,0.9934927672308611,0.03571428571428571,0.06896551724137931
1014711_RS_386_386RS124739_30480,0,198315,398,450,0.9957421810276005,0.0,0.0
1014712_RS_386_386RS124739_30485,1943,186402,2784,8034,0.9456826820242715,0.152260794608573,0.2642818280739935
1014713_RS_386_386RS124739_30490,4444,178580,1874,14265,0.9189658721750525,0.21590633046689015,0.35513645263115834
1014714_RS_386_386RS124739_30495,834,179566,1377,17386,0.905790734222722,0.04255753431647701,0.08164064411923058
