Epoch,Train Loss,Val Loss,Val IoU,Best Threshold,Learning Rate,Checkpoint Saved
1,1.403200,1.284424,0.122724,0.50,2.00e-04,Yes
2,1.223727,1.151686,0.164601,0.55,2.00e-04,Yes
3,1.113108,1.064089,0.191630,0.65,2.00e-04,Yes
4,1.024778,0.999471,0.207390,0.45,2.00e-04,Yes
5,0.947310,0.912430,0.229389,0.60,2.00e-04,Yes
6,0.878218,0.842272,0.252518,0.40,2.00e-04,Yes
7,0.821416,0.791491,0.257774,0.55,2.00e-04,Yes
8,0.782371,0.809877,0.242006,0.30,2.00e-04,No
9,0.754594,0.790531,0.254775,0.30,2.00e-04,No
10,0.732111,0.736186,0.272313,0.35,2.00e-04,Yes
11,0.718895,0.770611,0.257919,0.30,2.00e-04,No
12,0.703172,0.717617,0.275029,0.40,2.00e-04,Yes
13,0.691627,0.736079,0.275968,0.30,2.00e-04,Yes
14,0.681710,0.713980,0.275454,0.55,2.00e-04,No
15,0.669127,0.698387,0.294630,0.55,2.00e-04,Yes
16,0.658875,0.694006,0.294340,0.55,2.00e-04,No
17,0.649550,0.710471,0.291581,0.30,2.00e-04,No
18,0.640319,0.674541,0.306668,0.55,2.00e-04,Yes
19,0.630465,0.734343,0.288793,0.30,2.00e-04,No
20,0.628960,0.690111,0.300410,0.50,2.00e-04,No
21,0.621009,0.718143,0.294511,0.30,2.00e-04,No
22,0.613479,0.698015,0.302164,0.30,2.00e-04,No
23,0.599900,0.676302,0.314355,0.45,1.00e-04,Yes
24,0.592902,0.664516,0.319392,0.50,1.00e-04,Yes
25,0.584950,0.671232,0.316381,0.60,1.00e-04,No
26,0.583240,0.664344,0.320344,0.50,1.00e-04,Yes
27,0.578067,0.666863,0.322277,0.60,1.00e-04,Yes
28,0.575743,0.660119,0.320631,0.65,1.00e-04,No
29,0.573116,0.661212,0.324233,0.50,1.00e-04,Yes
30,0.569599,0.674888,0.318046,0.40,1.00e-04,No
31,0.566720,0.667291,0.323134,0.45,1.00e-04,No
32,0.565336,0.670357,0.319209,0.55,1.00e-04,No
33,0.560598,0.674607,0.320568,0.45,1.00e-04,No
34,0.554790,0.667794,0.323544,0.40,5.00e-05,No
35,0.551311,0.667579,0.322379,0.40,5.00e-05,No
36,0.547679,0.663342,0.324099,0.60,5.00e-05,No
