Epoch,Train Loss,Val Loss,Val IoU,Best Threshold,Learning Rate,Checkpoint Saved
1,1.750217,1.662985,0.022085,0.45,1.00e-05,Yes
2,1.447654,1.354993,0.114520,0.45,1.08e-04,Yes
3,1.293030,1.217614,0.147616,0.55,2.06e-04,Yes
4,1.151828,1.090133,0.172126,0.45,3.04e-04,Yes
5,1.023728,1.080580,0.112590,0.30,4.02e-04,No
6,0.910695,0.860966,0.226643,0.60,5.00e-04,Yes
7,0.828028,0.887013,0.212190,0.30,5.00e-04,No
8,0.789459,0.819915,0.236908,0.30,5.00e-04,Yes
9,0.762804,0.820349,0.243329,0.30,5.00e-04,Yes
10,0.746023,0.748104,0.271017,0.35,5.00e-04,Yes
11,0.735602,0.752414,0.270234,0.30,5.00e-04,No
12,0.720763,0.798114,0.252070,0.30,5.00e-04,No
13,0.705767,0.725876,0.286811,0.30,5.00e-04,Yes
14,0.690116,0.716387,0.292601,0.60,5.00e-04,Yes
15,0.679074,0.861965,0.235692,0.30,5.00e-04,No
16,0.670192,0.762079,0.267351,0.30,5.00e-04,No
17,0.659218,0.697245,0.304127,0.55,5.00e-04,Yes
18,0.650463,0.696294,0.303123,0.50,5.00e-04,No
19,0.643141,0.745746,0.282511,0.50,5.00e-04,No
20,0.638657,0.668743,0.319109,0.55,5.00e-04,Yes
21,0.632322,0.737753,0.294487,0.30,5.00e-04,No
22,0.622040,0.675627,0.319446,0.50,5.00e-04,Yes
23,0.620887,0.826127,0.262790,0.30,5.00e-04,No
24,0.614380,0.691827,0.321615,0.30,5.00e-04,Yes
25,0.608308,0.714456,0.300378,0.30,5.00e-04,No
26,0.603007,0.709239,0.312923,0.35,5.00e-04,No
27,0.601763,0.679759,0.326049,0.55,5.00e-04,Yes
28,0.596607,0.775654,0.269891,0.35,5.00e-04,No
29,0.594092,0.930783,0.229380,0.30,5.00e-04,No
30,0.593020,0.673209,0.326356,0.50,5.00e-04,Yes
31,0.587287,0.706406,0.317242,0.30,5.00e-04,No
32,0.585076,0.693576,0.311905,0.45,5.00e-04,No
33,0.581413,0.658265,0.330911,0.55,5.00e-04,Yes
34,0.578748,0.680192,0.328289,0.30,5.00e-04,No
35,0.575544,0.665996,0.332298,0.50,5.00e-04,Yes
36,0.570122,0.735754,0.297869,0.45,5.00e-04,No
37,0.567154,0.677489,0.330042,0.50,5.00e-04,No
38,0.567347,0.666169,0.329923,0.55,5.00e-04,No
39,0.562068,0.658657,0.335637,0.65,5.00e-04,Yes
40,0.561251,0.679263,0.330103,0.30,5.00e-04,No
41,0.558866,0.687895,0.314754,0.60,5.00e-04,No
42,0.557312,0.705611,0.327958,0.30,5.00e-04,No
43,0.553214,0.692624,0.321801,0.30,5.00e-04,No
44,0.543462,0.655018,0.337096,0.70,2.50e-04,Yes
45,0.535085,0.648040,0.348112,0.40,2.50e-04,Yes
46,0.531244,0.655957,0.341840,0.40,2.50e-04,No
47,0.528247,0.655458,0.339171,0.45,2.50e-04,No
48,0.525382,0.653731,0.340057,0.50,2.50e-04,No
49,0.524061,0.648031,0.344174,0.45,2.50e-04,No
50,0.517504,0.652519,0.345691,0.40,1.25e-04,No
