sample_id,TP,TN,FP,FN,Accuracy,IoU,F1
1007599_RS_386_386RS289112_28920,0,198861,151,151,0.9984836540923766,0.0,0.0
1007600_RS_386_386RS289112_28925,5,198583,207,368,0.9971129175599885,0.008620689655172414,0.017094017094017096
1007607_RS_386_386RS289112_28960,24,198208,432,499,0.995325436953651,0.025130890052356022,0.049029622063329927
1007608_RS_386_386RS289112_28966,1829,192332,2233,2769,0.97488489327837,0.2677499634021373,0.4224018475750577
1008367_RS_386_386RS289112_32760,204,196898,1139,922,0.9896516923324111,0.09006622516556291,0.1652490886998785
1008560_RS_386_386RS289112_33725,312,194803,1989,2059,0.9796749396223194,0.07155963302752294,0.13356164383561644
1014583_RS_386_386RS124739_29840,154,196988,1007,1014,0.9898525328499772,0.07080459770114943,0.13224559896951482
1014584_RS_386_386RS124739_29845,17,198012,816,318,0.9943061713270035,0.014769765421372719,0.02910958904109589
1014585_RS_386_386RS124739_29850,28,196207,1793,1135,0.9852984741141678,0.009472259810554804,0.01876675603217158
1014586_RS_386_386RS124739_29855,399,192139,3071,3554,0.966735789278129,0.05680523917995444,0.10750370470160313
1014587_RS_386_386RS124739_29860,1305,190005,4393,3460,0.9605699853888523,0.1424983620877921,0.24945044442320558
1014603_RS_386_386RS124739_29940,168,196993,1342,660,0.989947932095821,0.07741935483870968,0.1437125748502994
1014604_RS_386_386RS124739_29945,23,198105,650,385,0.9948032516079794,0.021739130434782608,0.0425531914893617
1014609_RS_386_386RS124739_29970,1,198416,496,250,0.9962543243473938,0.0013386880856760374,0.00267379679144385
1014610_RS_386_386RS124739_29975,8,198491,360,304,0.9966660474084041,0.011904761904761904,0.023529411764705882
1014611_RS_386_386RS124739_29980,7,197935,626,595,0.9938693432012974,0.005700325732899023,0.011336032388663968
1014612_RS_386_386RS124739_29985,110,195890,1535,1628,0.9841185360734674,0.03360831041857623,0.0650310375406444
1014613_RS_386_386RS124739_29990,248,195667,1768,1480,0.9836917499736397,0.07093821510297482,0.13247863247863248
1014615_RS_386_386RS124739_30000,0,198717,220,226,0.9977606282291389,0.0,0.0
1014616_RS_386_386RS124739_30005,22,197962,653,526,0.9940802257447418,0.018318068276436304,0.035977105478331974
1014617_RS_386_386RS124739_30010,130,196586,1336,1111,0.9877135813378991,0.05044625533566162,0.09604728481714074
1014618_RS_386_386RS124739_30015,2,197426,866,869,0.9912885425505742,0.0011514104778353484,0.0023001725129384704
1014619_RS_386_386RS124739_30020,202,196043,1393,1525,0.9853486842435593,0.06474358974358975,0.12161348585189645
1014620_RS_386_386RS124739_30026,13,196964,1267,919,0.9890240657150173,0.005911778080945885,0.011754068716094032
1014621_RS_386_386RS124739_30030,15,197651,784,713,0.992483543630092,0.00992063492063492,0.019646365422396856
1014622_RS_386_386RS124739_30035,19,197863,650,631,0.9935680824249484,0.014615384615384615,0.02880970432145565
1014623_RS_386_386RS124739_30040,44,197218,720,1181,0.9904550544026752,0.02262210796915167,0.04424333836098542
1014626_RS_386_386RS124739_30055,0,198707,165,291,0.9977104180997475,0.0,0.0
1014627_RS_386_386RS124739_30061,284,195197,1887,1795,0.9815126303580485,0.07160867372667676,0.13364705882352942
1014628_RS_386_386RS124739_30065,1502,187624,4915,5122,0.949604093129748,0.13016725886125313,0.23035043324898397
1014629_RS_386_386RS124739_30070,715,191361,3869,3218,0.9644160813002415,0.09164316841835426,0.16789949512739227
1014630_RS_386_386RS124739_30075,694,190562,4460,3447,0.9602988506901382,0.0806882920590629,0.14932759548144164
1014631_RS_386_386RS124739_30080,88,194388,2254,2433,0.9764665123542023,0.01842931937172775,0.03619165124408801
1014632_RS_386_386RS124739_30085,184,196860,1062,1057,0.9893604735819405,0.07989578810247504,0.14796944109368718
1014635_RS_386_386RS124739_30100,782,189748,5415,3218,0.9566535952963151,0.08305894848645778,0.15337844464058056
1014636_RS_386_386RS124739_30105,357,190997,4272,3537,0.960790909958175,0.04371785451873622,0.08377331925378388
1014637_RS_386_386RS124739_30110,3,198471,364,325,0.9965405220849254,0.004335260115606936,0.008633093525179856
1014638_RS_386_386RS124739_30115,160,197039,858,1106,0.9901387305875087,0.07532956685499058,0.14010507880910683
1014639_RS_386_386RS124739_30121,1202,188579,5765,3617,0.9528928566048914,0.113567649281935,0.2039708128287799
1014640_RS_386_386RS124739_30127,5,198520,253,385,0.9967965937448221,0.007776049766718507,0.015432098765432098
1014641_RS_386_386RS124739_30130,55,194262,2024,2822,0.9756681712968774,0.011222199551112018,0.022195318805488296
