Epoch,Train Loss,Val Loss,Val IoU,Best Threshold,Learning Rate,Checkpoint Saved
1,1.287639,1.223504,0.043380,0.50,1.00e-05,Yes
2,1.084619,1.052244,0.154461,0.60,1.08e-04,Yes
3,1.041135,1.024404,0.178130,0.65,2.06e-04,Yes
4,1.014621,1.029976,0.164663,0.50,3.04e-04,No
5,0.971872,0.972443,0.189490,0.65,4.02e-04,Yes
6,0.911808,0.963498,0.208354,0.30,5.00e-04,Yes
7,0.866345,0.992767,0.208755,0.35,5.00e-04,Yes
8,0.837243,0.992096,0.200351,0.30,5.00e-04,No
9,0.815517,0.950460,0.242755,0.25,5.00e-04,Yes
10,0.799009,0.902532,0.238431,0.40,5.00e-04,No
11,0.787609,1.049231,0.193939,0.20,5.00e-04,No
12,0.771382,0.808701,0.268191,0.55,5.00e-04,Yes
13,0.761603,0.828574,0.276319,0.35,5.00e-04,Yes
14,0.750277,0.807938,0.279068,0.60,5.00e-04,Yes
15,0.743433,0.898947,0.275399,0.25,5.00e-04,No
16,0.732119,0.852326,0.262037,0.55,5.00e-04,No
17,0.723380,0.890579,0.269578,0.45,5.00e-04,No
18,0.717390,0.792079,0.281319,0.60,5.00e-04,Yes
19,0.709753,0.793779,0.295546,0.50,5.00e-04,Yes
20,0.705565,0.753550,0.303329,0.65,5.00e-04,Yes
21,0.702852,0.885093,0.272162,0.40,5.00e-04,No
22,0.691319,0.771251,0.302707,0.70,5.00e-04,No
23,0.685528,1.025054,0.251372,0.20,5.00e-04,No
24,0.676351,0.794946,0.307500,0.60,5.00e-04,Yes
25,0.666891,0.857863,0.276592,0.65,5.00e-04,No
26,0.664579,0.826044,0.307821,0.40,5.00e-04,Yes
27,0.658168,0.776861,0.306244,0.60,5.00e-04,No
28,0.652360,0.799847,0.302451,0.50,5.00e-04,No
29,0.647620,0.891382,0.291508,0.45,5.00e-04,No
30,0.646714,0.768207,0.318097,0.55,5.00e-04,Yes
31,0.639036,0.767647,0.319536,0.50,5.00e-04,Yes
32,0.636903,0.789486,0.293961,0.70,5.00e-04,No
33,0.630943,0.754524,0.312642,0.70,5.00e-04,No
34,0.629336,0.793890,0.318248,0.50,5.00e-04,No
35,0.625133,0.787223,0.320996,0.55,5.00e-04,Yes
36,0.621506,0.739632,0.320902,0.70,5.00e-04,No
37,0.619054,0.830518,0.318380,0.45,5.00e-04,No
38,0.613227,0.786449,0.319617,0.70,5.00e-04,No
39,0.610447,0.742983,0.332482,0.65,5.00e-04,Yes
40,0.610201,0.944763,0.295209,0.25,5.00e-04,No
41,0.607348,0.766812,0.318725,0.70,5.00e-04,No
42,0.603593,0.780271,0.324279,0.45,5.00e-04,No
43,0.600812,0.800249,0.327529,0.45,5.00e-04,No
44,0.589557,0.733521,0.338096,0.70,2.50e-04,Yes
45,0.580508,0.743647,0.334162,0.70,2.50e-04,No
46,0.573725,0.733277,0.335739,0.70,2.50e-04,No
47,0.571898,0.757786,0.336507,0.55,2.50e-04,No
48,0.570327,0.786650,0.324596,0.65,2.50e-04,No
49,0.565761,0.731862,0.338359,0.70,1.25e-04,Yes
50,0.560245,0.758221,0.333148,0.60,1.25e-04,No
