Threshold,Precision,Recall,F1,IoU,Accuracy,TP,FP,FN,TN
0.10,0.12058285992466718,0.5042161483311367,0.19462202846863716,0.10780126463133606,0.9448567172159639,292282,2131628,287394,41156632
0.15,0.12601459987285854,0.4572036792967106,0.1975738441840658,0.10961549994519845,0.9509257741234964,265030,1838139,314646,41450121
0.20,0.13023219377346806,0.4187063118017651,0.1986708564945743,0.11029125754772195,0.9553671729620468,242714,1620988,336962,41667272
0.25,0.13400929051471897,0.3856430143735466,0.19890125094035177,0.1104332847070145,0.9589510434226949,223548,1444605,356128,41843655
0.30,0.13745542609153955,0.3554295848025449,0.19824390656940205,0.1100281593564308,0.9620104533753309,206034,1292881,373642,41995379
0.35,0.14044227341347165,0.3267514956630946,0.19644835153893703,0.10892305285882041,0.9646775266563715,189410,1159258,390266,42129002
0.40,0.1433148928725859,0.2996035716503702,0.1938851378506551,0.10734928431956119,0.9670794176411673,173673,1038155,406003,42250105
0.45,0.14616740672990397,0.27348380819630275,0.19051258571335866,0.10528538867371173,0.9692895512567539,158532,926060,421144,42362200
0.50,0.14894408560476605,0.24794885418751164,0.18609812199247866,0.10259547346458339,0.9713410496450072,143730,821263,435946,42466997
0.55,0.15165794373858235,0.22269681684251202,0.1804370873608637,0.09916507206621042,0.9732675592487415,129092,722113,450584,42566147
0.60,0.15442067479097277,0.19763281557283724,0.17337474887727808,0.09491533568295661,0.9750970959746089,114563,627326,465113,42660934
0.65,0.1573682873354474,0.17310359580179271,0.1648613258370478,0.08983589532395678,0.9768253058452534,100344,537294,479332,42750966
0.70,0.15982136878678085,0.14823280591226823,0.15380911466723945,0.0833115989734272,0.9784474473565385,85927,451717,493749,42836543
0.75,0.16207583296222366,0.12368461002353039,0.1403013376149536,0.0754430491631469,0.979970587173283,71697,370670,507979,42917590
0.80,0.1642303723425483,0.09938827896963132,0.12383474371347324,0.06600417703000107,0.9814156745373204,57613,293193,522063,42995067
0.85,0.1664935950883044,0.0757854387623431,0.10415915858955635,0.05494087705804741,0.9827738875154737,43931,219929,535745,43068331
0.90,0.1696598969652175,0.05306240037538211,0.08084113254854962,0.04212321028738111,0.9840554157824978,30759,150539,548917,43137721
